ip,host,host_full,traffic_snd,traffic_rcv,packet_snd,packet_rcv,country,party,input_file,organization
00:e0:4c:29:48:4e,00:e0:4c:29:48:4e,00:e0:4c:29:48:4e,565,0,5,0,XX,Physical,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
13.35.78.57,truste.com,choices.truste.com,2648,16572,18,12,US,Support party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
199.244.49.19,sekindo.com,live.sekindo.com,1990,7211,12,7,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
54.83.145.183,eyeviewads.com,track.eyeviewads.com,4215,7845,25,20,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
209.15.36.33,sitescout.com,pixel-sync.sitescout.com,15943,14756,71,42,CA,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
34.96.87.211,openx.net,rtb.openx.net,10327,13670,69,58,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
54.164.166.143,gumgum.com,g2.gumgum.com,11408,25121,51,38,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
35.201.84.231,brand-display.com,dmp.brand-display.com,3195,5292,16,14,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,Google LLC
172.217.12.238,youtube.com,img.youtube.com,9570,57245,80,82,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
172.217.7.174,google-analytics.com,www.google-analytics.com,12889,110563,92,81,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,Google LLC
54.39.53.162,dyntrk.com,c.us1.dyntrk.com,2807,8323,15,7,CA,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
3.223.35.158,bidr.io,match.prod.bidr.io,4032,7217,21,15,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
52.2.103.66,3lift.com,eb2.3lift.com,11112,21988,78,72,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
152.199.5.24,advertising.com,adserver.adtech.advertising.com,14440,41502,80,60,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
54.173.141.166,uplynk.com,onevideosync.uplynk.com,2196,5726,15,10,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
13.33.39.225,amazon-adsystem.com,c.amazon-adsystem.com,9857,5654,51,43,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
209.15.36.35,sitescout.com,pixel-sync.sitescout.com,1998,4526,10,7,CA,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
104.28.11.234,sugarspunrun.com,sugarspunrun.com,6026,213562,63,63,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
3.15.109.176,thebrighttag.com,s.thebrighttag.com,5076,7224,27,19,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
192.184.68.252,quantserve.com,pixel.quantserve.com,6866,8566,35,23,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
146.0.227.110,admixer.net,inv-nets.admixer.net,5947,6171,29,19,DE,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
172.217.9.194,googlesyndication.com,pagead2.googlesyndication.com,23321,16656,104,102,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
172.217.197.157,doubleclick.net,stats.g.doubleclick.net,4227,6795,26,23,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,Google LLC
3.222.179.245,bidr.io,match.prod.bidr.io,20459,22856,80,49,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
151.101.2.49,everesttech.net,sync-tm.everesttech.net,83774,101802,324,243,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
88.214.206.142,admanmedia.com,cs.admanmedia.com,1848,3331,11,7,GB,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
104.16.13.243,navdmp.com,cdn.navdmp.com,14693,17061,97,77,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
35.211.144.153,bidswitch.net,x.bidswitch.net,3063,8364,14,10,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
23.38.231.88,tribalfusion.com,a.tribalfusion.com,10762,15377,66,50,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
204.154.111.106,doubleverify.com,rtb0.doubleverify.com,14192,30850,71,43,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
18.235.25.252,myvisualiq.net,t.myvisualiq.net,4716,7918,23,16,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
35.170.11.197,3lift.com,eb2.3lift.com,7467,11349,46,38,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
192.168.110.254,192.168.110.254,192.168.110.254,4406,4406,35,35,192.168.110.254,Local,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-08_12.21.27_192.168.110.16.pcap,192.168.110.254
172.217.7.227,gstatic.com,www.gstatic.com,1056,739,11,10,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-08_12.21.27_192.168.110.16.pcap,N/A
192.168.110.13,192.168.110.13,192.168.110.13,0,3428,0,32,192.168.110.13,Local,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-08_12.21.27_192.168.110.16.pcap,192.168.110.13
172.217.7.131,gstatic.com,connectivitycheck.gstatic.com,30569,17398,160,113,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-08_12.21.27_192.168.110.16.pcap,N/A
172.217.164.170,googleapis.com,play.googleapis.com,13696,15317,84,103,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-08_12.21.27_192.168.110.16.pcap,N/A
172.217.12.238,youtube.com,www.youtube.com,58577,18189,120,156,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-08_12.21.27_192.168.110.16.pcap,N/A
224.0.0.22,224.0.0.22,224.0.0.22,62,0,1,0,224.0.0.22,Local,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-08_12.21.27_192.168.110.16.pcap,224.0.0.22
33:33:00:00:00:16,33:33:00:00:00:16,33:33:00:00:00:16,180,0,2,0,XX,Physical,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-08_12.21.27_192.168.110.16.pcap,N/A
8.8.8.8,dns.google,dns.google,7150,9156,85,86,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-08_12.21.27_192.168.110.16.pcap,Level 3 Parent  LLC
172.217.164.138,googleapis.com,play.googleapis.com,2227,2179,12,11,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-08_12.21.27_192.168.110.16.pcap,N/A
